,id,name,type_line,mana_cost,cmc,power,toughness,text,rarity,legal,lang,url
10,06f6d0bd-19b9-45d0-8768-691a6a593d81,Shadow Rift,Instant,{U},1.0,,,"Target creature gains shadow until end of turn. (It can block or be blocked by only creatures with shadow.)
Draw a card.",common,True,en,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=397405
11,6aa50126-f6ec-4917-ac45-4b1f8f23ca09,Rhox,Creature — Rhino Beast,{4}{G}{G},6.0,5,5,"You may have Rhox assign its combat damage as though it weren't blocked.
{2}{G}: Regenerate Rhox. (The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)",rare,True,en,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=106504
12,48133629-4a5b-4c91-b496-2ee94f6cbc4c,"Garruk, Savage Herald",Legendary Planeswalker — Garruk,{4}{G}{G},6.0,,,"+1: Reveal the top card of your library. If it's a creature card, put it into your hand. Otherwise, put it on the bottom of your library.
−2: Target creature you control deals damage equal to its power to another target creature.
−7: Until end of turn, creatures you control gain ""You may have this creature assign its combat damage as though it weren't blocked.""",mythic,True,en,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=488642
13,d6099863-8d3d-44bf-8d3b-dc3602119617,Garruk's Warsteed,Creature — Rhino,{3}{G}{G},5.0,3,5,"Vigilance
When Garruk's Warsteed enters the battlefield, you may search your library and/or graveyard for a card named Garruk, Savage Herald, reveal it, and put it into your hand. If you search your library this way, shuffle.",rare,True,en,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=488643
14,f8095ca6-2f5f-497f-8b78-7e530ac31d22,Harrow,Instant,{2}{G},3.0,,,"As an additional cost to cast this spell, sacrifice a land.
Search your library for up to two basic land cards, put them onto the battlefield, then shuffle.",common,True,en,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=496007
15,4a0c73a9-38a2-4a3d-938e-b81ba166f0ff,Search for Tomorrow,Sorcery,{2}{G},3.0,,,"Search your library for a basic land card, put it onto the battlefield, then shuffle.
Suspend 2—{G} (Rather than cast this card from your hand, you may pay {G} and exile it with two time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.)",common,True,en,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=578753
16,ccf744d0-4349-4338-99aa-db0780c7296f,Nissa's Pilgrimage,Sorcery,{2}{G},3.0,,,"Search your library for up to two basic Forest cards, reveal those cards, and put one onto the battlefield tapped and the rest into your hand. Then shuffle.
Spell mastery — If there are two or more instant and/or sorcery cards in your graveyard, search your library for up to three basic Forest cards instead of two.",common,True,en,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=433087
17,35edb95a-a293-45bc-bee8-9ce3000aa013,Kodama's Reach,Sorcery — Arcane,{2}{G},3.0,,,"Search your library for up to two basic land cards, reveal those cards, put one onto the battlefield tapped and the other into your hand, then shuffle.",common,True,en,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=578750
18,6d204fda-c4c4-456c-900a-a67fa9ce3b5d,Cultivate,Sorcery,{2}{G},3.0,,,"Search your library for up to two basic land cards, reveal those cards, put one onto the battlefield tapped and the other into your hand, then shuffle.",common,True,en,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=578746
19,1612bf83-c800-41de-ab06-fb1732d5b5a6,Yavimaya Elder,Creature — Human Druid,{1}{G}{G},3.0,2,1,"When Yavimaya Elder dies, you may search your library for up to two basic land cards, reveal them, put them into your hand, then shuffle.
{2}, Sacrifice Yavimaya Elder: Draw a card.",common,True,en,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=539408
20,182864e2-81ef-41bc-94cd-b0ea67f60bda,Astral Cornucopia,Artifact,{X}{X}{X},0.0,,,"Astral Cornucopia enters the battlefield with X charge counters on it.
{T}: Choose a color. Add one mana of that color for each charge counter on Astral Cornucopia.",rare,True,en,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=446908
21,45cbbcfb-1b1b-4991-988d-17a22a08d5b0,Khalni Heart Expedition,Enchantment,{1}{G},2.0,,,"Landfall — Whenever a land enters the battlefield under your control, you may put a quest counter on Khalni Heart Expedition.
Remove three quest counters from Khalni Heart Expedition and sacrifice it: Search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle.",common,True,en,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=500908
22,98795a31-7b54-4ad1-ac87-3f58e71dbeb7,Garruk's Uprising,Enchantment,{2}{G},3.0,,,"When Garruk's Uprising enters the battlefield, if you control a creature with power 4 or greater, draw a card.
Creatures you control have trample. (They can deal excess combat damage to the player or planeswalker they're attacking.)
Whenever a creature with power 4 or greater enters the battlefield under your control, draw a card.",uncommon,True,en,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=559864
23,27851834-688f-4929-967d-dfa015194f7f,Workshop Warchief,Creature — Rhino Warrior,{3}{G}{G},5.0,5,3,"Trample
When Workshop Warchief enters the battlefield, you gain 3 life.
When Workshop Warchief dies, create a 4/4 green Rhino Warrior creature token.
Blitz {4}{G}{G} (If you cast this spell for its blitz cost, it gains haste and ""When this creature dies, draw a card."" Sacrifice it at the beginning of the next end step.)",rare,True,en,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=555366
24,fd466b20-d11d-419e-8765-9befb9590299,Ior Ruin Expedition,Enchantment,{1}{U},2.0,,,"Landfall — Whenever a land enters the battlefield under your control, you may put a quest counter on Ior Ruin Expedition.
Remove three quest counters from Ior Ruin Expedition and sacrifice it: Draw two cards.",common,True,en,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=500878
25,633c7e38-fdad-461c-9ecb-3e89d5b80f24,Metropolis Angel,Creature — Angel Soldier,{2}{W}{U},4.0,3,1,"Flying
Whenever you attack with one or more creatures with counters on them, draw a card.",uncommon,True,en,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=555404
26,b3684a28-e819-4909-912e-dec4a9cf1b11,Rhox Pikemaster,Creature — Rhino Soldier,{2}{W}{W},4.0,3,3,"First strike (This creature deals combat damage before creatures without first strike.)
Other Soldier creatures you control have first strike.",uncommon,True,en,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=190576
27,54e2d6c2-a233-4e37-94c9-673a4a957e0c,Roon of the Hidden Realm,Legendary Creature — Rhino Soldier,{2}{G}{W}{U},5.0,4,4,"Vigilance, trample
{2}, {T}: Exile another target creature. Return that card to the battlefield under its owner's control at the beginning of the next end step.",rare,True,en,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=571603
28,570f7c90-109b-4d6d-8205-d158753719e8,Freelance Muscle,Creature — Rhino Warrior,{4}{G},5.0,4,4,"Whenever Freelance Muscle attacks or blocks, it gets +X/+X until end of turn, where X is the greatest power and/or toughness among other creatures you control.",uncommon,True,en,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=555348
29,2bec0d43-f321-49eb-9402-83632d00d4be,Vitality Hunter,Creature — Nightmare,{3}{W},4.0,3,4,"Lifelink
{X}{W}{W}: Monstrosity X. (If this creature isn't monstrous, put X +1/+1 counters on it and it becomes monstrous.)
When Vitality Hunter becomes monstrous, put a lifelink counter on each of up to X target creatures.",rare,True,en,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=484877
30,af2fdbec-bca2-4af5-9c2a-28b0b35b18a3,"Garruk, Unleashed",Legendary Planeswalker — Garruk,{2}{G}{G},4.0,,,"+1: Up to one target creature gets +3/+3 and gains trample until end of turn.
−2: Create a 3/3 green Beast creature token. Then if an opponent controls more creatures than you, put a loyalty counter on Garruk, Unleashed.
−7: You get an emblem with ""At the beginning of your end step, you may search your library for a creature card, put it onto the battlefield, then shuffle.""",mythic,True,en,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=485506
31,4e785abe-ae43-4e6b-9d6d-56e39ea348ef,Tyrant Guard,Creature — Tyranid,{X}{2}{G},3.0,3,3,"Ravenous (This creature enters the battlefield with X +1/+1 counters on it. If X is 5 or more, draw a card when it enters.)
Shieldwall — Sacrifice Tyrant Guard: Creatures you control with counters on them gain hexproof and indestructible until end of turn.",rare,True,en,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=580925
32,2c211958-1ee2-4dda-9ef1-c59de599ebc1,Veiling Oddity,Creature — Illusion,{3}{U},4.0,2,3,"Suspend 4—{1}{U} (Rather than cast this card from your hand, you may pay {1}{U} and exile it with four time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost. It has haste.)
When the last time counter is removed from Veiling Oddity while it's exiled, creatures can't be blocked this turn.",common,True,en,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=509460
33,3a5832cc-f9f6-4881-99dd-c0728a52cabe,Wickerbough Elder,Creature — Treefolk Shaman,{3}{G},4.0,4,4,"Wickerbough Elder enters the battlefield with a -1/-1 counter on it.
{G}, Remove a -1/-1 counter from Wickerbough Elder: Destroy target artifact or enchantment.",common,True,en,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=559892
34,535ccc75-b24e-4071-b6a0-fc5267a454e3,Splendor Mare,Creature — Elk Unicorn,{2}{W},3.0,3,3,"Lifelink
Cycling {1}{W} ({1}{W}, Discard this card: Draw a card.)
When you cycle Splendor Mare, put a lifelink counter on target creature you control.",uncommon,True,en,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=479552
35,3730996a-96d2-4311-a4dc-0045a2f8ccc9,Sudden Spinnerets,Instant,{G},1.0,,,Target creature gets +1/+3 until end of turn. Put a reach counter on it. Untap it.,common,True,en,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=479691
36,4dfdab77-d7c3-4e6a-bb4b-55153bd2fd4d,Sanctuary Warden,Creature — Angel Soldier,{4}{W}{W},6.0,5,5,"Flying
Sanctuary Warden enters the battlefield with two shield counters on it.
Whenever Sanctuary Warden enters the battlefield or attacks, you may remove a counter from a creature or planeswalker you control. If you do, draw a card and create a 1/1 green and white Citizen creature token.",mythic,True,en,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=555231
37,15afcabf-58a8-4650-a6cf-b7f2f01d0671,Myth Realized,Enchantment,{W},1.0,,,"Whenever you cast a noncreature spell, put a lore counter on Myth Realized.
{2}{W}: Put a lore counter on Myth Realized.
{W}: Until end of turn, Myth Realized becomes a Monk Avatar creature in addition to its other types and gains ""This creature's power and toughness are each equal to the number of lore counters on it.""",uncommon,True,en,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=571355
38,2639c3c1-c631-4b2d-a311-a01bbea4753d,Legacy's Allure,Enchantment,{U}{U},2.0,,,"At the beginning of your upkeep, you may put a treasure counter on Legacy's Allure.
Sacrifice Legacy's Allure: Gain control of target creature with power less than or equal to the number of treasure counters on Legacy's Allure. (This effect lasts indefinitely.)",rare,True,en,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=397409
39,c0595c72-5b32-4d7b-8efc-7ce5c83504dd,Lost Auramancers,Creature — Human Wizard,{2}{W}{W},4.0,3,3,"Vanishing 3 (This creature enters the battlefield with three time counters on it. At the beginning of your upkeep, remove a time counter from it. When the last is removed, sacrifice it.)
When Lost Auramancers dies, if it had no time counters on it, you may search your library for an enchantment card, put it onto the battlefield, then shuffle.",uncommon,True,en,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=509389
40,3c84cf70-4164-47ea-8da1-c0ca1ac132e1,"Magosi, the Waterveil",Land,,0.0,,,"Magosi, the Waterveil enters the battlefield tapped.
{T}: Add {U}.
{U}, {T}: Put an eon counter on Magosi, the Waterveil. Skip your next turn.
{T}, Remove an eon counter from Magosi, the Waterveil and return it to its owner's hand: Take an extra turn after this one.",rare,True,en,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=190412
41,9fd761f3-6b43-4150-8595-dc3abd85b06c,Mazemind Tome,Artifact,{2},2.0,,,"{T}, Put a page counter on Mazemind Tome: Scry 1.
{2}, {T}, Put a page counter on Mazemind Tome: Draw a card.
When there are four or more page counters on Mazemind Tome, exile it. If you do, you gain 4 life.",rare,True,en,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=485555
42,3b09c3dc-94ed-4d9d-8c5f-51169200de45,Kindred Boon,Enchantment,{2}{W}{W},4.0,,,"As Kindred Boon enters the battlefield, choose a creature type.
{1}{W}: Put a divinity counter on target creature you control of the chosen type.
Each creature you control with a divinity counter on it has indestructible.",rare,True,en,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=433246
43,57e6fb62-7ee3-444d-8fd4-c1f44014a05c,Druids' Repository,Enchantment,{1}{G}{G},3.0,,,"Whenever a creature you control attacks, put a charge counter on Druids' Repository.
Remove a charge counter from Druids' Repository: Add one mana of any color.",rare,True,en,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=240135
44,c468b523-84fc-4657-adef-acc1eec6ef2e,As Foretold,Enchantment,{2}{U},3.0,,,"At the beginning of your upkeep, put a time counter on As Foretold.
Once each turn, you may pay {0} rather than pay the mana cost for a spell you cast with mana value X or less, where X is the number of time counters on As Foretold.",mythic,True,en,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=571371
45,881607c8-bfe7-4903-861f-b51a5a332c17,"Arixmethes, Slumbering Isle",Legendary Creature — Kraken,{2}{G}{U},4.0,12,12,"Arixmethes, Slumbering Isle enters the battlefield tapped with five slumber counters on it.
As long as Arixmethes has a slumber counter on it, it's a land. (It's not a creature.)
Whenever you cast a spell, you may remove a slumber counter from Arixmethes.
{T}: Add {G}{U}.",rare,True,en,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=489862
46,dbfe803d-88d7-4ad2-b3d8-c41c123d8bf3,Archmage Ascension,Enchantment,{2}{U},3.0,,,"At the beginning of each end step, if you drew two or more cards this turn, you may put a quest counter on Archmage Ascension.
As long as Archmage Ascension has six or more quest counters on it, if you would draw a card, you may instead search your library for a card, put that card into your hand, then shuffle.",rare,True,en,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=197893
47,f404d133-fc1a-4751-ac72-554e6553e486,Beastmaster Ascension,Enchantment,{2}{G},3.0,,,"Whenever a creature you control attacks, you may put a quest counter on Beastmaster Ascension.
As long as Beastmaster Ascension has seven or more quest counters on it, creatures you control get +5/+5.",rare,True,en,https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=559855
